Time:512Hz,Epoch,Electrode,Attention,Meditation,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma,Event Id,Event Date,Event Duration
32.65039063,522,12,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.65234375,522,13,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.65429688,522,-19,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.65625,522,-55,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.65820313,522,-70,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.66015625,522,-50,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.66210938,522,-25,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.6640625,522,-42,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.66601563,522,-46,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.66796875,522,-14,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.66992188,522,35,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.671875,522,5,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.67382813,522,-44,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.67578125,522,-19,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.67773438,522,-7,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.6796875,522,-14,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.68164063,522,-22,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.68359375,522,-3,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.68554688,522,9,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.6875,523,25,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.68945313,523,55,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.69140625,523,58,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.69335938,523,7,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.6953125,523,-17,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.69726563,523,4,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
32.69921875,523,24,81,53,38395,26577,29833,9505,13806,17116,7117,21335,,,
